2017-12-12 18:48:59,791 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:59,853 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:59,919 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:48:59,985 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:00,049 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:00,118 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:00,181 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:00,247 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:00,314 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:00,376 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:00,443 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:00,506 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:00,573 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:00,635 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:00,697 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:00,758 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:00,824 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:00,889 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:00,956 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:01,021 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:01,088 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:01,159 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:01,225 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:01,291 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:01,359 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:01,427 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:01,498 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:01,567 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:01,632 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:01,698 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:01,764 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:01,825 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:01,891 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:01,956 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:02,019 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:02,084 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:02,148 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:02,211 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:02,278 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:02,344 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:02,409 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:02,479 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:02,544 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:02,610 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:02,678 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:02,743 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:02,808 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:02,872 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:02,938 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
2017-12-12 18:49:03,005 INFO The engine is scanning, the runId is 450204, scanId is -1, and status is WaitingToProcess 
